date,market,1d_ta,7d_ta,30d_ta
2022-09-08,DAI aave_v2,2.1437535931684812,2.112502390222897,2.2084731090497285
2022-09-07,DAI aave_v2,2.160326427563633,2.109865802966049,2.1906515448740884
2022-09-06,DAI aave_v2,2.086205077470696,2.1500065329092735,2.1713415783459937
2022-09-05,DAI aave_v2,2.092166916218167,2.2041506513116045,2.1540277773150582
2022-09-04,DAI aave_v2,2.0923074606672523,2.252247683151711,2.1364365915890784
2022-09-03,DAI aave_v2,2.1074327538508606,2.2871763168557484,2.121848468328735
2022-09-02,DAI aave_v2,2.105324502621188,2.3175170315138054,2.110024147745633
2022-09-01,DAI aave_v2,2.125297482370543,2.350021577560516,2.098078624200189
2022-08-31,DAI aave_v2,2.441311537166206,2.3708901203843666,2.0854394668435323
2022-08-30,DAI aave_v2,2.4652139062870155,2.346064681330975,2.062401461974003
2022-08-29,DAI aave_v2,2.4288461390989107,2.3139160858500265,2.0387889490625204
2022-08-28,DAI aave_v2,2.336807896595516,2.287333567419968,2.016550489880603
2022-08-27,DAI aave_v2,2.3198177564572573,2.2721807115995145,1.9977039405483659
2022-08-26,DAI aave_v2,2.3328563249481653,2.260347359557754,1.9791880455345516
2022-08-25,DAI aave_v2,2.2713772821374967,2.2477956172262656,1.9599211101568939
2022-08-24,DAI aave_v2,2.2675334637924633,2.2442453401543836,1.942627045759339
2022-08-23,DAI aave_v2,2.2401737379203763,2.241316327437535,1.924246971128058
2022-08-22,DAI aave_v2,2.2427685100885006,2.241889564104696,1.9062537610328314
2022-08-21,DAI aave_v2,2.2307379058523407,2.2440105465755535,1.8882935600104782
2022-08-20,DAI aave_v2,2.236984292164935,2.2459907378894544,1.870506614884012
2022-08-19,DAI aave_v2,2.244994128627746,2.2423594923454044,1.8512108942680767
2022-08-18,DAI aave_v2,2.246525342634324,2.245826561201793,1.832127852926945
2022-08-17,DAI aave_v2,2.247030374774523,2.186892356756976,1.8134757519129334
